client_id,visit_id,process_step,date_time,variation,tenure_years,age
2584131,84895030_35636199122_865077,start,2017-04-28 08:55:56,Test,4.0,64.0
2584131,84895030_35636199122_865077,start,2017-04-28 08:55:56,Test,4.0,64.0
3205096,902033559_42629470467_399354,start,2017-04-28 16:20:22,Control,25.0,58.5
3205096,902033559_42629470467_399354,start,2017-04-28 16:20:22,Control,25.0,58.5
4893150,665093968_75191913928_900262,step_1,2017-04-26 15:13:11,Test,24.0,62.5
4893150,665093968_75191913928_900262,step_1,2017-04-26 15:13:11,Test,24.0,62.5
6413572,836617747_51925043960_25874,start,2017-04-28 13:20:43,Test,6.0,71.5
6413572,836617747_51925043960_25874,start,2017-04-28 13:20:43,Test,6.0,71.5
6601169,418620455_610069790_769089,step_3,2017-04-02 14:52:25,Control,22.0,52.5
6601169,418620455_610069790_769089,step_3,2017-04-02 14:52:25,Control,22.0,52.5
3679050,545372051_95867671917_995398,start,2017-04-28 12:56:12,Test,21.0,67.0
3679050,545372051_95867671917_995398,start,2017-04-28 12:56:12,Test,21.0,67.0
3679050,545372051_95867671917_995398,start,2017-04-28 12:55:02,Test,21.0,67.0
3679050,545372051_95867671917_995398,start,2017-04-28 12:55:02,Test,21.0,67.0
4980713,830919705_69864275664_867328,confirm,2017-03-28 17:56:50,Control,16.0,50.5
4980713,830919705_69864275664_867328,confirm,2017-03-28 17:56:50,Control,16.0,50.5
6863285,304480740_3933978327_234679,start,2017-04-27 23:37:07,Test,7.0,45.5
6863285,304480740_3933978327_234679,start,2017-04-27 23:37:07,Test,7.0,45.5
6863285,304480740_3933978327_234679,step_3,2017-04-27 23:36:31,Test,7.0,45.5
6863285,304480740_3933978327_234679,step_3,2017-04-27 23:36:31,Test,7.0,45.5
694842,57441527_4478213950_831976,start,2017-04-28 14:41:37,Control,18.0,59.0
694842,57441527_4478213950_831976,start,2017-04-28 14:41:37,Control,18.0,59.0
3247062,987149641_3618438050_76377,confirm,2017-03-29 11:55:50,Control,7.0,54.5
3247062,987149641_3618438050_76377,confirm,2017-03-29 11:55:50,Control,7.0,54.5
6256711,934964071_68038773307_816438,confirm,2017-04-03 14:57:17,Test,27.0,65.5
6256711,934964071_68038773307_816438,confirm,2017-04-03 14:57:17,Test,27.0,65.5
6256711,934964071_68038773307_816438,step_2,2017-04-03 14:55:53,Test,27.0,65.5
6256711,934964071_68038773307_816438,step_3,2017-04-03 14:55:53,Test,27.0,65.5
6256711,934964071_68038773307_816438,step_3,2017-04-03 14:55:53,Test,27.0,65.5
6256711,934964071_68038773307_816438,step_2,2017-04-03 14:55:53,Test,27.0,65.5
3449157,37783251_79406720757_964979,step_3,2017-04-05 15:15:04,Control,13.0,25.5
3449157,37783251_79406720757_964979,step_3,2017-04-05 15:15:04,Control,13.0,25.5
8301950,980259493_2362388314_550735,start,2017-04-30 10:50:31,Test,18.0,43.0
8301950,980259493_2362388314_550735,start,2017-04-30 10:50:31,Test,18.0,43.0
8301950,980259493_2362388314_550735,start,2017-04-30 10:47:16,Test,18.0,43.0
8301950,980259493_2362388314_550735,start,2017-04-30 10:47:16,Test,18.0,43.0
8205765,361630417_28622284552_905335,confirm,2017-04-05 18:24:45,Test,16.0,75.5
8205765,361630417_28622284552_905335,confirm,2017-04-05 18:24:45,Test,16.0,75.5
7355316,698123785_48600967706_817201,step_3,2017-03-15 12:52:15,Control,16.0,69.5
7355316,698123785_48600967706_817201,step_3,2017-03-15 12:52:15,Control,16.0,69.5
9910551,461295965_69227481750_720782,start,2017-04-28 09:49:15,Control,13.0,53.5
9910551,461295965_69227481750_720782,start,2017-04-28 09:49:15,Control,13.0,53.5
9205347,214191220_4282363851_687015,step_3,2017-04-20 08:59:53,Control,13.0,44.5
9205347,214191220_4282363851_687015,step_3,2017-04-20 08:59:53,Control,13.0,44.5
2516714,353840750_9188720463_680503,start,2017-04-28 11:10:34,Test,21.0,68.0
2516714,353840750_9188720463_680503,start,2017-04-28 11:10:34,Test,21.0,68.0
